Billing Country,Billing State,Browser,Created By,Device Brand,Device Type,Email Permission,Email Status,Email Status Reason,Event Type,Order Source,Order Status,Os,Os Version,Payment Method,Segment,Updated By,Discounted Price,Item Count,Quantity,Shipping,Total Amount,Unit Price
Unknown,Unknown,Chrome Mobile,-13,Huawei,M,TRUE,A,Unknown,order,checkout,completed,Android,10,Pay with a Debit/Credit Card or Online with Bank,customer,-5,21500,1,1,0,265800,20000
Unknown,Unknown,Chrome,-13,Unknown,D,TRUE,A,Unknown,order,checkout,completed,Windows,10,Bank Transfer or Bank Deposit,customer,-5,41000,1,1,0,264000,35000
Unknown,Unknown,Chrome,-13,Unknown,D,TRUE,A,Unknown,order,checkout,completed,Windows,10,Bank Transfer or Bank Deposit,customer,-5,45000,2,2,0,259000,21500
Unknown,Unknown,Chrome,-13,Unknown,D,TRUE,A,Unknown,order,checkout,completed,Windows,10,Bank Transfer or Bank Deposit,customer,-5,14120,1,1,0,254600,20500
NG,Federal Capital Territory,Chrome Mobile,-5,Infinix,M,TRUE,A,Unknown,order,checkout,completed,Android,8,Bank Transfer or Bank Deposit,customer,-5,3900,1,1,900,251800,3000
Unknown,Unknown,Chrome Mobile,-13,Samsung,M,TRUE,A,Unknown,order,checkout,completed,Android,10,Bank Transfer or Bank Deposit,customer,-5,16000,1,1,0,247900,14500
NG,Kogi,Chrome Mobile WebView,-5,Samsung,M,TRUE,A,Unknown,order,checkout,completed,Android,10,Bank Transfer or Bank Deposit,customer,-5,23200,2,2,0,246600,9700
NG,Ogun,Unknown,-5,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,2000,2,2,0,239500,500
NG,Abia,Unknown,-5,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,1155000,1,1,0,235150,1100000
Unknown,Unknown,Chrome,-13,Generic_Android_Tablet,T,TRUE,A,Unknown,order,checkout,completed,Android,10,Bank Transfer or Bank Deposit,customer,-5,1340790,74,30,0,234300,1950
Unknown,Unknown,Unknown,-31,Unknown,Unknown,FALSE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,Unknown,-5,82800,54,4,0,43200,1850
Unknown,Unknown,Unknown,-31,Unknown,Unknown,FALSE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,Unknown,-5,38000,25,5,0,43200,900
