Billing Country (Dummy),Billing State (Dummy),Browser (Dummy),Created By (Dummy),Device Brand (Dummy),Device Type (Dummy),Email Status (Dummy),Event Type (Dummy),Order Source (Dummy),Order Status (Dummy) ,Os (Dummy),Os Version (Dummy),Payment Method (Dummy),Segment (Dummy),Updated By (Dummy),Discounted Price,Item Count,Quantity,Shipping,Total Amount,Unit Price
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,32750,2,1,0,31800,14000
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,35000,2,1,0,31500,14500
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,29750,2,1,0,31500,15750
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,267800,2,1,0,31500,42000
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,246600,2,1,0,31500,200000
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,183900,3,1,0,31500,9500
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,94000,4,1,0,31450,15000
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,119000,7,1,0,31400,12000
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,421400,8,1,0,31200,185000
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,45150,18,1,0,31000,10500
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,1000,21,1,0,31000,200000
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,6000,2,2,0,31000,1500
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,31500,2,2,0,31000,14000
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,35000,2,2,0,31000,16500
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,181000,2,2,0,31000,87000
1,1,2,1,1,3,2,2,2,1,3,2,2,1,1,63900,4,2,0,30800,14000
